,Facebook,OP_WithRank,OP_With_OUT_Rank
62465,2.56494935746,2.17087290901,4.92682541717
43919,3.52636052462,3.13375956832,3.44574276716
6477,5.64190707094,5.13818548389,4.9938278013
51066,3.25809653802,2.91168336627,3.51459049125
11403,6.28599809451,5.04778721241,3.09888408895
88154,3.4657359028,4.38326299019,4.92704190766
12188,4.74493212836,3.70025293894,3.1229467961
49923,5.6937321388,5.43452143623,3.48004561292
73548,6.54391184556,6.2605299529,4.94112480135
82108,5.17614973257,5.53700335882,4.93938682256
13635,6.84906628263,6.67368253972,4.97247662684
10146,3.36729582999,2.30858049276,3.02327305085
55734,6.29894924686,6.5406254758,3.13244414952
44979,4.84418708646,5.23272711465,3.43160429206
78190,5.27299955856,4.67782981404,3.11272867517
15442,8.20658361432,8.07183111137,4.93445194388
22016,4.54329478227,3.37195770693,3.18715889131
68067,0.69314718056,1.70908541443,2.84641052534
40249,5.77455154554,5.28079761392,4.98922160632
75877,3.295836866,3.84630344566,3.51441009392
25068,3.13549421593,2.76013908711,3.46098760488
62572,5.03043792139,4.59626284651,3.10255562152
33938,7.71646080018,7.64878568982,4.96861608925
73710,7.28000825288,6.45334556301,5.0160124113
58596,3.295836866,3.54949851514,3.12827317168
13477,1.09861228867,2.43808098669,3.98033961306
61880,2.63905732962,2.84720078984,3.4626862394
26018,3.43398720449,2.27522542937,3.52333881148
7157,4.21950770518,3.67919917075,3.5403243134
37352,3.49650756147,3.48730163181,4.94344170993
37500,3.36729582999,2.85413916742,4.94466348002
69274,2.07944154168,2.94003629543,3.10986235312
59520,3.89182029811,3.60169292992,3.51112294859
71399,2.07944154168,3.18113749389,3.49450248558
10361,5.93224518745,5.17976257512,4.94467389287
72158,7.56579328243,7.7241993909,4.96006234318
64558,8.14873480894,8.42032321903,4.94802430413
43483,5.85220247977,5.82362317902,4.95747903046
13535,2.63905732962,2.96188710403,3.53122780305
25246,4.75359019111,4.37728801304,4.95339831261
66994,3.55534806149,3.54300244135,4.9287779182
38613,3.40119738166,2.95864179667,3.50500069567
73217,3.73766961828,3.70773946347,5.03601294381
45691,2.7080502011,2.77673288375,3.09917768585
43450,3.40119738166,2.81465991903,3.1291236601
72921,4.96284463026,5.0109032104,3.47414493553
52424,1.94591014906,2.15587388842,3.04669520744
42527,4.70048036579,4.96137924385,3.47915495182
62659,4.26267987704,3.66682406878,3.13273492702
41059,1.60943791243,1.77984320061,3.47854382748
71370,8.94115288216,8.4149336746,4.99927139247
38753,7.8567067931,7.58759871693,3.50833290678
38803,4.65396035016,4.70570054177,3.60616631521
12455,8.06054004654,7.44966026111,5.12126508634
81219,2.99573227355,2.98855861321,3.53685169169
74651,4.12713438505,4.43548602174,4.96831652946
89747,7.37525577801,7.72943221454,5.13135918271
10166,4.29045944115,3.45349754747,3.61878608587
56189,2.63905732962,3.14621741288,3.67875589995
75593,4.66343909411,5.6392590732,5.03838734421
12010,1.79175946923,1.81040270731,3.50372736025
31928,5.21493575761,4.91148134504,4.93648500226
42690,1.60943791243,2.80103374794,3.49719489517
54742,7.82484569103,7.81170611188,4.93528805746
56512,3.33220451018,2.75518027443,3.15120821758
38003,1.38629436112,1.6378743528,3.47444092255
16344,7.54960916515,7.11958423861,5.01368439412
45506,2.30258509299,2.66611933897,3.52836050492
27089,6.04973345523,5.31070323548,5.0469833813
23727,8.41316512099,7.59925244544,3.54761469941
63749,1.38629436112,2.84115622904,3.49992684124
50169,4.92725368516,4.9434565213,4.94648022042
50489,3.25809653802,3.4715719357,3.5063338934
73449,0.69314718056,1.70674749311,3.43427839408
27791,1.79175946923,2.54779331963,3.4758935943
15457,3.68887945411,3.44742591306,4.16142217648
66706,5.26785815906,5.37016090045,5.06123125389
51274,1.38629436112,1.57935907256,3.49355424287
70047,2.48490664979,2.55001839562,3.50000907024
6425,4.00733318523,3.38723594602,3.53985011232
24471,3.7135720667,3.75027918802,3.52918379845
24780,3.7135720667,3.94887524191,4.98823942255
87183,2.83321334406,3.83791918554,5.02574712977
63057,4.09434456222,3.58157506971,3.55982304322
48559,5.20948615284,4.52488357085,4.99819008718
22345,9.04121140897,8.33364839028,4.95306582206
40733,6.72982407049,5.8354478985,3.08932550977
35383,5.24702407216,4.59748733942,3.5168052281
8013,0.69314718056,2.2229866473,3.10111665908
39890,3.17805383035,3.24819318732,3.50742077906
86347,7.14124512235,6.77985124754,4.9672916571
13191,2.94443897917,2.62624402885,3.05911081175
27770,2.94443897917,2.84566879526,3.09605914212
45114,5.12989871492,5.64264634007,3.49940556912
45773,2.94443897917,3.23657277368,5.0072765424
12768,2.7080502011,2.46440381296,3.0760699548
5780,1.79175946923,2.61991359744,4.97471067874
78805,2.7080502011,3.67564049115,3.48865653812
23169,7.59588991772,6.27503282252,4.02145307236
11207,7.72267751647,7.04412697107,5.22182974716
46438,2.30258509299,2.78147973585,4.94171223315
38531,3.76120011569,3.34299226928,4.93769085149
59228,3.25809653802,3.13962751924,3.12952942703
20660,6.26909628371,6.06756853902,4.94420792414
10911,3.61091791264,3.24052957817,3.49625145397
61364,3.49650756147,4.10917161954,3.51043511847
29178,4.20469261939,2.90935376581,3.98847165664
33306,2.19722457734,2.62296805821,3.4996520404
38289,1.60943791243,1.66852824932,2.85525369162
39867,3.09104245336,3.29894065793,4.91003905497
11263,4.07753744391,3.40631647443,4.91199700524
46980,1.94591014906,3.26894594952,3.10193413686
30809,3.04452243772,3.49044107395,3.42654575887
45752,3.09104245336,3.24545706608,3.4345831511
51837,4.53259949315,3.95861078628,3.61724758969
11541,4.91265488574,3.77718944252,3.44136978598
15702,4.35670882669,4.06190640789,4.93725813858
47765,2.07944154168,2.7049916308,3.0792258078
37504,3.68887945411,3.0693626718,4.94046445947
49699,2.19722457734,2.03792675532,3.01217035928
17631,1.94591014906,2.47739853233,3.49142374011
49654,4.96284463026,4.21106587903,3.59079416803
22528,3.295836866,2.28385848155,3.52841171374
57347,5.11799381242,4.75054089421,3.22026183786
32365,4.59511985013,3.96914012272,3.2394780469
45652,6.08677472691,6.60031489862,5.00057986371
87194,6.69332366827,7.4840910621,4.94721218296
82698,2.94443897917,2.86805795558,3.11814498139
24370,3.25809653802,3.29056032179,4.97189678832
6548,2.99573227355,2.53425954896,3.07418254302
